@relation Issues

@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
'Menu showing wrong key binding',' Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode https flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide https flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description The menu for my package atom xterm https atom io packages atom xterm shows an incorrect key binding See the following Atom Xterm menu https raw githubusercontent com amejia1 atom xterm dab2521a8cbfd72b70e2063e1e23c579bd62e7e1 resources atom xterm menu png All the menu items should have Ctrl at the beginning The proper key bindings work but using the key bindings as shown above won t do anything Steps to Reproduce 1 apm install atom xterm 2 Click on Packages Atom Xterm Expected behavior Should show proper key bindings Actual behavior Leaves out the Ctrl at the beginning Reproduces how often Happens all the time Versions You can get this information from copy and pasting the output of atom version and apm version from the command line Also please include the OS and what version of the OS you re running Atom 1 23 2 Electron 1 6 15 Chrome 56 0 2924 87 Node 7 4 0 I m using Windows 10 This also happens in Ubuntu 17 04 Additional Information Any additional information configuration or data that might be necessary to reproduce the issue ',bug
'DISPOSE of MENU item not functioning as expected ',' Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode Followed all applicable steps in the debugging guide Checked the FAQs on the message board for common solutions Checked that your issue isn t already filed Checked that there is not already an Atom package that provides the described functionality br Description Tags API menu atom menu add dispose If a menu object is disposed this object is not disposed properly when one of the object s items is a separator Building the object would be with the instruction favoritesMenu atom menu add Disposing of the object would be favoritesMenu dispose br Steps to Reproduce 1 Open the development console in Atom 2 Execute code in the console to create a complex menu entry favoritesMenu atom menu add 3 Execute code in the console to dispose of the menu entry favoritesMenu dispose Scenario1 Does work Execute code in the development console Creates menu items as expected br Notice the item js favoritesMenu atom menu add label Extra submenu label Test submenu label item1 label label item2 Dispose all menu items as expected js favoritesMenu dispose Scenario2 Does not work Execute code in the development console Creates menu items as expected br Notice the separator item js favoritesMenu atom menu add label Extra submenu label Test submenu label item1 type separator label item2 Attempt to dispose all menu items with unexpected result js favoritesMenu dispose Expected behavior What you expect to happen All items are removed from the menu if dispose is executed Actual behavior What actually happens Scenario1 occurs as expected Scenario2 does not work as expected Scenario2 Items item1 and item2 is removed as expected however Extra Test separator remains Restarting Atom brings back normality Reproduces how often What percentage of the time does it reproduce 100 Versions Atom V1 23 2 Atom V1 24 beta 2 Windows 10 Professional Additional Information Originally reported by gliviu on https discuss atom io t menu refresh fails for separators 51255 gliviu constructed similar coding in init js which led him to discover the behaviour Thanks for your attention Dan Padric ',bug
'Windows installer graphic blurry on high DPI screens',' Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode https flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide https flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description The Windows installer graphic looks blurry when using a hi res screen installer https user images githubusercontent com 378023 34634855 a7092f50 f2cb 11e7 83fc 454e5ed4632c gif Steps to Reproduce 1 Install Atom on Windows with a hi res screen Expected behavior Installer graphic should look sharp Actual behavior Installer graphic looks blurry Reproduces how often 100 Versions Since 2 years ',enhancement
'Prompt for registering as default atom protocol handler is unclear',' Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Description This is not a code issue but an UX issue I personally find this message image https user images githubusercontent com 13496178 34385155 62980656 eb29 11e7 98e3 9eb85af46cb9 png unclear What is a URI handler and why should we now set it on Atom If you can add an explanation or an explenation button it would be helpful Versions 1 23 1 X64 You can get this information from copy and pasting the output of atom version and apm version from the command line Also please include the OS and what version of the OS you re running ',enhancement
'Mapping ctrl tab s key behavior to a different key key doesn t work the same as ctrl tab does',' Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description Default ctrl tab key does pane show next recently used item I would like ctrl pagedown to do the same but even after I mapped ctrl pagedown to act the same Using ctrl tab works smoothly but using ctrl pagedown is glitchly They should be acting the same but for some unknown reason they don t Steps to Reproduce 1 Map ctrl pagedown key as ctrl tab open keymap cjson type body ctrl pagedown pane show next recently used item ctrl pagedown ctrl pane move active item to top of stack Save keymap cjson file 2 Have at least 2 open tabs call it tab1 tab2 edit both finish at tab1 3 1 scenario go to tab1 Hold ctrl type pagedown once wait 10 secs 3 secs should do it release ctrl OR 3 2 scenario Hold ctrl type pagedown several times fast to move between the open files in popup see image below Expected behavior Switching smoothly between the open files in the popup screen Just use the default keys to see Expected behavior 3 1 scenario After releasing of ctrl it should switch from tab1 to tab2 3 2 scenario Hold ctrl type tab several times fast and see how it works smoothly like it should The files in popup open by the first ctrl tab are being switched quickly Actual behavior 3 1 scenario After releasing of ctrl after waiting 10 secs not switching from tab1 to tab2 staying in same tab tab1 3 2 scenario Switching glitchly between the open files in the popup screen If you type pagedown fast enough You need to click pagedown 2 times instead of once for it to switch a single file in popup Reproduces how often 100 All the time Versions win 10 pro Atom 1 22 1 Electron 1 6 15 Chrome 56 0 2924 87 Node 7 4 0 Additional Information Glitch only occur when you click fast enough or to be more accurate not slow enough If you hold ctrl then click pagedown wait 3 secs click pagedown wait 3 secs It will kinda work Just try it easy to see once you try it It works differently for some reason not like the default ctrl tab Popup displaying used flies image https user images githubusercontent com 3532929 33127609 c9d0cc76 cf91 11e7 81d2 dfc0b17bcdef png ',bug
'Workspace Item API documentation is truncated','The Workspace https atom io docs api v1 21 2 Workspace documentation has a section on Workspace Items which is truncated to just the following Workspace Items The term item refers to anything that can be displayed in a pane within the workspace either in the WorkspaceCenter https atom io docs api v1 21 2 WorkspaceCenter or in one of the three Dock https atom io docs api v1 21 2 Dock s The workspace expects items to conform to the following interface Required Methods getTitle However the documentation in source https github com atom atom blob v1 21 2 src workspace js L31 goes in depth describing the contract for getTitle and numerous optional methods ',bug
' Bug text re rendering on save',' Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode x Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging x Checked the FAQs on the message board for common solutions https discuss atom io c faq x Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom x Checked that there is not already an Atom package that provides the described functionality https atom io packages Description When I hit Cmd S to save some text i just changed folded text above the current line is sometimes re rendered to the right of what is already there Steps to Reproduce 1 Collapse several functions methods and then make a change on a line below the collapsed lines 2 Hit Cmd S to save and see text re rendered Expected behavior No re rendering Actual behavior re rendering Reproduces how often Approximately 75 of the time Versions Atom 1 21 0 Electron 1 6 9 Chrome 56 0 2924 87 Node 7 4 0 Additional Information copy bug https user images githubusercontent com 2036040 32116289 09c68804 bb18 11e7 8307 4bf2ab06a0f1 gif cc maxbrunsfeld ',bug
'Uncaught TypeError Cannot read property length of undefined',' Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description embedded 25444 Uncaught in promise TypeError Cannot read property length of undefined at Project module exports Project setPaths Applications Atom app Contents Resources app src project js 271 44 at Applications Atom app Contents Resources app src project js 143 30 screen shot 2017 10 25 at 1 34 06 pm https user images githubusercontent com 26739 32013452 30cb0f8c b989 11e7 80ff c763783d62ba png Happens with or without atom safe Steps to Reproduce 1 git clone git github com mozilla balrog git 2 cd balrog 3 docker compose up 3 atom Note The docker compose up creates a bunch of files in cache and a bunch of files in ui node modules Expected behavior What you expect to happen That it opens without errors and that I can open files Actual behavior What actually happens It never opens properly No side pane See screenshot Reproduces how often What percentage of the time does it reproduce Every time Versions atom version Atom 1 21 1 Electron 1 6 15 Chrome 56 0 2924 87 Node 7 4 0 apm version apm 1 18 5 npm 3 10 10 node 6 9 5 x64 python 2 7 11 git 2 9 0 I m on macOS Sierra 10 12 6 Additional Information I don t know how to debug or even share what extensions I have installed that might affect this Note that the error only happens after you ve run docker compose up which creates a bunch of files But it s nevertheless reproducible The files that are created should all be in gitignore ',bug
' atom test not showing exceptions simply exiting with no message',' Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description When running atom test spec and there is a problem encountered that will not allow the tests to start this is the result master Source atom keybinding resolver atom test spec Error Downloading Update Could not get code signature for running application master Source atom keybinding resolver 1 It turned out that the problem was that I had forgotten to run apm install on the repository before attempting to run the tests When I finally attempted to run the tests in the GUI I was able to find this in the JavaScript Console Error Cannot find module etch at Module resolveFilename module js 470 15 at Module resolveFilename Applications Atom app Contents Resources electron asar common reset search paths js 35 12 This led me to the solution of running apm install We should output any exception like this at the command line to help people figure out why things aren t working Steps to Reproduce 1 Execute git clone https github com atom keybinding resolver git keybinding resolver test 1 cd keybinding resolver test 1 atom test spec Expected behavior An exception message or even better a real error message explaining the problem Actual behavior Program simply exits with an unhelpful error code Versions Atom 1 23 0 dev dec47761f Electron 1 6 14 Chrome 56 0 2924 87 Node 7 4 0 apm 1 18 8 npm 3 10 10 node 6 9 5 x64 python 2 7 10 git 2 14 2 ',bug
' BUG Fix resize behaviour when soft wrapping is enabled',' Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description When soft wrap is enabled resizing the window with a long file causes your current position in the file to be lost This is because Atom seems to keep the viewport at a fixed position from the top of the file during a resize causing the file content to be pushed down by the addition of new soft wrap lines and your current position in the file being lost Why is this feature important Here are two common use cases where this issue occurs Opening closing a vertical split Toggling the tree view Steps to Reproduce 1 Enable soft wrapping preferences editor soft wrap 2 Open a long file and navigate to a position a decent way down the file in my example below the file is 1000 lines long and I have the cursor on line 878 3 Resize the window and observe your current position in the file being pushed down below the viewport Expected behavior What you expect to happen When a tab is resized your current position in the file should stay visible within the viewport instead of being push down below the viewport due to the addition of soft tab lines This expected behaviour is the default behaviour in both VS Code and in Vim maybe in other editors as well they are the only two I tested Here is an example of the expected behaviour in VS Code gif vscode https user images githubusercontent com 3773641 31256183 a5f9b176 aa7c 11e7 9b96 7793a05ac7e9 gif Actual behavior What actually happens When a tab is resized the current position in the file is pushed down below the viewport by the extra soft wrapped lines being added to the file This results in you losing your place in a file everytime you open a vertical split toggle the tree view etc Here is an example of this using the same file and line number from the VS Code example above gif atom https user images githubusercontent com 3773641 31256196 b3106ecc aa7c 11e7 8eea 0cac38d5b8b0 gif Reproduces how often What percentage of the time does it reproduce 100 of the time this is reproducable Versions apm 1 18 5 Atom 1 21 0 OS MacOS Sierra 10 12 3 ',bug
'Atom does not remember last opened state if a spec window is closed last',' Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description When a normal Atom window as well as an Atom spec window are open closing the spec window last results in Atom attempting to save the state of the spec window rather than the actual project window Spec windows should probably be ignored when saving state Steps to Reproduce 1 Open any project 2 Run specs using the GUI 3 Close the project window 4 Close the specs window 5 atom in terminal Expected behavior The project from step 1 to be reopened Actual behavior Atom appears un maximized same dimensions as the spec window and with no project state Reproduces how often 100 Versions Atom 1 23 0 dev c30cc9bc8 Electron 1 6 9 Chrome 56 0 2924 87 Node 7 4 0 Additional Information This may be harder to reproduce on macOS due to its special Quit behavior ',bug
'Revert buffer Revert to saved Refresh from source',' Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description revert buffer package https github com atom revert buffer issues 3 should be rolled into core This package has zero documentation and appears to not be maintained The functionality provided by this tiny package is just a single command to reset the buffered text to the content saved on disk I am quite surprised this functionality is not already in core We shouldn t need to install a package to do this Atom should move this to core and make it available to various menus and deal with any open issues brought up on that package s repo Steps to Reproduce Expected behavior Opening File menu or context clicking on a file in Tree View or typing revert into Command Palette displays an option to revert file to it s saved state File menu and Command Palette also displays the wisely selected default hotkey for this command Actual behavior What actually happens In order to revert file to saved I must close and reopen the file or install the undocumented and poorly interfaced revert buffer package Reproduces how often What percentage of the time does it reproduce 100 Versions Windows 10 Atom 1 19 6 Electron 1 6 9 Chrome 56 0 2924 87 Node 7 4 0 apm 1 18 4 npm 3 10 10 node 6 9 5 x64 python git 2 12 0 windows 1 visual studio Additional Information None ',enhancement
'Scrollbar moves to the top when splitting panes',' Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description scrollbar position https user images githubusercontent com 1058982 30176488 e483daf6 9402 11e7 9fb0 726733af7856 gif Steps to Reproduce 1 Open tag finder coffee and README md from the bracket matcher repo 1 Scroll down a bit in tag finder coffee 1 Open README md and run pane split right and copy active item 1 Switch back to the tag finder coffee tab Expected behavior Scrollbar position to be on the correct position Actual behavior Scrollbar position is in the top of the file Reproduces how often 100 Versions 1 21 0 dev c1981ffb4 Additional Information Related https github com atom atom issues 15552 cc as cii 50Wliu ',bug
'Editor is empty if you scroll up after splitting',' Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description split stuff https user images githubusercontent com 1058982 30175603 69f11428 93ff 11e7 8968 3a0a3ad70a90 gif Steps to Reproduce 1 Download https github com atom atom files 1260242 test zip 1 Open Atom in that folder 1 Install preview inline 1 Open preview inline in test md from the zip using preview inline show 1 Close the preview using the X icon on the preview 1 pane split right and copy active item 1 Scroll up in the right pane using the horizontal scrollbar Expected behavior Not empty editor when scrolling up Actual behavior Empty editor Reproduces how often 100 Versions 1 21 0 dev c1981ffb4 Additional Information cc as cii ',bug
'Cursor rendered incorrectly when horizontalPixelPositions are measured while not visible',' Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description Cursor is rendered in incorrectly when cursor style updated when editor is not visible cursor displayed wrong position https user images githubusercontent com 155205 30166338 f693b408 941d 11e7 965b 00fdbc8ed038 gif Condition this happens is Cursor s style is updated when editor is not active pane item not visible in screen In addition to update style cursor has to be moved without no move issue not happen When issue happened cursor s style s translation width is not measured correctly result in rendered incorrectly Following GIF is before and after the cursor move right by ctrl f after I reproduce issue Notice lower GIF have odd width translate value img width 854 alt untitled src https user images githubusercontent com 155205 30166332 ee938774 941d 11e7 8edf cd69d935770b png Steps to Reproduce 1 Prepare following style in your style less less atom text editor test cursor marker is focused cursor border none background none opacity 0 5 background color syntax cursor color visibility visible 2 open editor 1 and set text aaa and open another editor 2 3 Set editor 1 active place cursor at eol of first line 4 open chrome dev console and paste following code javascript function reproduceIssue const editor atom workspace getActiveTextEditor atom workspace onDidChangeActivePaneItem item if item editor editor moveLeft This is necessary editor element classList add test cursor marker 5 click editor 2 s tab then click editor 1 s tab re activate 6 See cursor style become odd Expected behavior What you expect to happen Cursor is rendered correctly after tab switch and back Actual behavior What actually happens Cursor is rendered incorrectly after tab switch and back Reproduces how often What percentage of the time does it reproduce 100 in safe mode Versions Can reproduce Atom 1 20 0 beta5 Electron 1 6 9 Chrome 56 0 2924 87 Node 7 4 0 Cannot reproduce with 1 18 0 so I believe this issue introduced by editor rewrite Additional Information Actual Issue in vim mode plus is here https github com t9md atom vim mode plus issues 855 ',bug
'Add the TextEditor element to the public API',' Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description I would like to request that the TextEditor element property be added to the public API because it contains very helpful methods for package development such as the getFirstVisibleScreenRow and getLastVisibleScreenRow which return which are the lines that are currently visible in an editor Note I am also using these methods on my own package srt helper https atom io packages srt helper Previously I was using the TextEditor presenter startRow and TextEditor presenter endRow properties but since the presenter no longer exists I had to start using the element property This is another reason that I would like to request that the TextEditor element be added to the public API so that my package remains stable on the next versions of Atom Steps to Reproduce N A Versions Atom 1 19 5 Electron 1 6 9 Chrome 56 0 2924 87 Node 7 4 0 OS Windows 10 Additional Information Link to discussion in the Atom forums https discuss atom io t how to get visible lines numbers in atom editor 47065 7 ',enhancement
'Uncaught TypeError Cannot read property classList of null','1 calling of Pane splitRight Pane splitLeft Pane splitDown Pane splitUp can not provide more detailed reproduction sequence since issue appears rarely and randomly and too difficult to debug it Only can say that issue appears on startup and pane fetched by atom workspace getActivePane Atom 1 19 1 x64 Electron 1 6 9 OS Mac OS X 10 10 5 Thrown From api workbench package v0 8 46 Stack Trace Uncaught TypeError Cannot read property classList of null At Applications Atom app Contents Resources app src pane resize handle element js 25 TypeError Cannot read property classList of null at HTMLElement PaneResizeHandleElement attachedCallback Applications Atom app Contents Resources app src pane resize handle element js 25 45 at HTMLElement PaneAxisElement childRemoved Applications Atom app Contents Resources app src pane axis element js 111 21 at HTMLElement PaneAxisElement childReplaced Applications Atom app Contents Resources app src pane axis element js 122 12 at Function module exports Emitter simpleDispatch Applications Atom app Contents Resources app node modules event kit lib emitter js 25 20 at Emitter module exports Emitter emit Applications Atom app Contents Resources app node modules event kit lib emitter js 141 34 at PaneAxis module exports PaneAxis replaceChild Applications Atom app Contents Resources app src pane axis js 209 33 at Pane module exports Pane split Applications Atom app Contents Resources app src pane js 984 27 at Pane module exports Pane splitDown Applications Atom app Contents Resources app src pane js 972 25 Non Core Packages api workbench 0 8 46 atom editor logger 0 0 4 busy signal 1 3 0 file icons 1 7 14 intentions 1 1 2 linter 2 1 4 linter ui default 1 5 4 ',bug
' log file parameter didn t create log file',' Description I m running Atom with log file parameter but the log file isn t created Tested on macOS Sierra Steps to Reproduce Applications Atom app Contents MacOS Atom help grep log l log file Log all output to file string Applications Atom app Contents MacOS Atom l atom atom log warn kq init detected broken kqueue not using Undefined error 0 warn kq init detected broken kqueue not using Undefined error 0 warn kq init detected broken kqueue not using Undefined error 0 ls la atom The log file is not there Reproduces how often All the time Versions atom version Atom 1 18 0 Electron 1 3 15 Chrome 52 0 2743 82 Node 6 5 0 apm version apm 1 18 1 npm 3 10 10 node 6 9 5 x64 python 2 7 10 git 2 13 3 ',bug
'Persist undo history when reopening a previously closed buffer',' Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description Undo redo don t work after the file has been closed Steps to Reproduce 1 Open existing file or create the new one 2 Edit this file 3 Close this file 4 Restore the last closed tab Ctrl Shift T 5 Undo redo don t work Expected behavior Undo redo work after reopening closed file Actual behavior Undo redo don t work after reopening closed file Reproduces how often 100 Versions atom version Atom 1 18 0 Electron 1 3 15 Chrome 52 0 2743 82 Node 6 5 0 apm version apm 1 18 1 npm 3 10 10 node 6 9 5 x64 python 3 6 2 git 2 13 3 uname a Linux Alex ArchMainPC 4 11 9 1 ARCH 1 SMP PREEMPT Wed Jul 5 18 23 08 CEST 2017 x86 64 GNU Linux Additional Information Missing ',enhancement
'Atom doesn t correctly indent lines with combining diacritics',' Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description Description of the issue Steps to Reproduce 1 Paste the following text into a new plain text tab x 1 γ 1 φ 1 Expected behavior All three 1 should be indented to the same distance Actual behavior The third line doesn t indent fully img width 84 alt screen shot 2017 07 25 at 12 47 00 pm src https user images githubusercontent com 637714 28585884 cc993f70 713f 11e7 8fae 06c8788927e6 png Reproduces how often Always Versions Atom 1 18 0 Electron 1 3 15 Chrome 52 0 2743 82 Node 6 5 0 Additional Information Tested on macOS 10 12 5 ',bug
' Editor is not responding after leaving Save As dialog open for some time on macOS Sierra',' Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description If the save dialog is open for too long when it closes I get an Editor is not responding dialog If I click Keep Waiting everything is actually fine I suspect there s a synchronous call somewhere when opening the save dialog Steps to Reproduce 1 Create a new file in atom 2 File Save As 3 Stare at the Save modal for a couple minutes 4 Input a file name and save the file 5 Now the Editor is not responding dialog pops up 6 Click Keep Waiting 7 Everything is fine and working as normal Expected behavior Editor is not responding dialog should not pop up Actual behavior Editor is not responding dialog pops up Reproduces how often 100 Versions macOS Sierra Version 10 12 5 Atom 1 17 2 Electron 1 3 15 Chrome 52 0 2743 82 Node 6 5 0 apm 1 17 0 npm 3 10 5 node 6 9 5 x64 python 2 7 13 git 2 11 0 Additional Information N A',bug
'Window dimensions and position not being saved',' Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Prerequisites X Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description Atom 1 18 0 is not saving window positions on multi monitor Mac setups in particular circumstances Steps to Reproduce 1 On a Mac with 2 monitors arrange them so that the secondary monitor is positioned higher and to the left of the primary monitor like so img width 668 alt screen shot 2017 07 13 at 5 39 33 pm src https user images githubusercontent com 5263654 28193555 934b56be 67f2 11e7 9255 ae81d1e2ea98 png 2 Open Atom and mentally note the window size and position 3 Open settings to ensure that Restore Previous Windows On Start is set to always 4 Move Atom s application window fully onto the secondary monitor so that the top left corner of it is positioned above the height of the primary window Optionally resize the window to be noticeably different than the original size 5 Open the Developer tools and enter atom getPosition into the console 6 Observe that the current widow position x and y values are both negative like so screen shot 2017 07 13 at 5 56 51 pm https user images githubusercontent com 5263654 28193853 eca1fd56 67f4 11e7 99c3 f00acfeca7d0 png 7 Quit Atom via CMD Q or via the File menu 8 Open Atom Expected behavior Atom should restore the window position and size due to the Restore Previous Windows On Start setting Actual behavior The window will open in the position it was in at step 2 Reproduces how often 100 if the above steps are followed Versions Atom Atom 1 18 0 Electron 1 3 15 Chrome 52 0 2743 82 Node 6 5 0 apm apm 1 18 1 npm 3 10 10 node 6 9 5 x64 python 2 7 10 MacOS System Version macOS 10 12 5 16F73 Mac Model Identifier MacBookPro13 2 Additional Information The issue appears to be caused by an assumption that window positions are calculated relative to the monitor they reside on not relative to the primary monitor position The validation logic is found in the isValidDimensions method of atom environment coffee at line 635 Returns true if the dimensions are useable false if they should be ignored Work around for https github com atom atom shell issues 473 isValidDimensions x y width height width 0 and height 0 and x width 0 and y height 0 The intent seems to be to prevent saving positions that would place the window outside the viewable area of the monitors but in our case it generates a false negative due to the way the position data is calculated and therefore the window position is not saved if your setup is as described above ',bug
